Best: iteration: 14, time: 17.0345, start node: V0, cost non-opt: 8072, opt: -1
Nodes (name, car in, car out, arc cost, car return cost, passengers, passPrice): 
V0 C- C2 20 0 
V180 C2 C4 6 17 
V181 C4 C3 20 9 
V36 C3 C3 6 0 
V192 C3 C1 6 15 
V246 C1 C1 2 0 
V55 C1 C1 2 0 
V79 C1 C1 2 0 
V5 C1 C1 2 0 
V187 C1 C1 3 0 
V45 C1 C1 9 0 
V56 C1 C1 7 0 
V116 C1 C1 6 0 
V59 C1 C1 3 0 
V107 C1 C1 2 0 
V88 C1 C1 2 0 
V172 C1 C1 2 0 
V195 C1 C1 2 0 
V117 C1 C1 5 0 
V232 C1 C1 6 0 
V70 C1 C1 3 0 
V90 C1 C1 3 0 
V291 C1 C1 5 0 
V275 C1 C1 7 0 
V294 C1 C1 5 0 
V92 C1 C1 3 0 
V4 C1 C1 5 0 
V23 C1 C1 2 0 
V87 C1 C1 2 0 
V188 C1 C1 3 0 
V143 C1 C1 16 0 
V264 C1 C1 17 0 
V244 C1 C1 12 0 
V227 C1 C1 7 0 
V94 C1 C1 6 0 
V288 C1 C1 8 0 
V16 C1 C1 19 0 
V234 C1 C1 20 0 
V39 C1 C1 15 0 
V101 C1 C1 7 0 
V168 C1 C1 6 0 
V30 C1 C1 10 0 
V183 C1 C1 16 0 
V265 C1 C1 15 0 
V220 C1 C1 7 0 
V43 C1 C1 17 0 
V229 C1 C1 12 0 
V245 C1 C1 9 0 
V224 C1 C1 6 0 
V106 C1 C1 4 0 
V176 C1 C1 7 0 
V125 C1 C1 12 0 
V278 C1 C1 10 0 
V230 C1 C1 6 0 
V24 C1 C1 21 0 
V262 C1 C1 28 0 
V124 C1 C1 12 0 
V259 C1 C1 6 0 
V149 C1 C1 9 0 
V46 C1 C1 8 0 
V65 C1 C1 9 0 
V82 C1 C1 10 0 
V32 C1 C1 17 0 
V197 C1 C1 20 0 
V121 C1 C1 12 0 
V284 C1 C1 10 0 
V177 C1 C1 9 0 
V69 C1 C1 11 0 
V147 C1 C1 10 0 
V162 C1 C1 12 0 
V139 C1 C1 13 0 
V190 C1 C1 9 0 
V290 C1 C1 11 0 
V132 C1 C1 20 0 
V26 C1 C1 16 0 
V191 C1 C1 18 0 
V204 C1 C1 15 0 
V247 C1 C1 13 0 
V221 C1 C1 10 0 
